dept time_str count
ENGL 09:35 8
ENGL 10:05 11
ENGL 10:40 7
ENGL 11:45 7
ENGL 13:30 11
ENGL 13:55 7
ENGL 15:00 3
ENGL 15:05 8
ENGL 16:05 8
ENGL 17:00 2
ENGL 17:40 2
ENGL 19:15 5
ENWR 09:35 2
ENWR 10:00 3
ENWR 10:30 5
ENWR 11:30 1
ENWR 12:30 5
ENWR 12:50 2
ENWR 13:30 11
ENWR 15:00 6
ENWR 15:05 3
ENWR 17:00 5
ENWR 19:00 8
ENWR 19:15 2
FREN 08:30 10
FREN 09:30 7
FREN 09:35 17
FREN 10:00 1
FREN 10:05 2
FREN 10:30 3
FREN 10:40 20
FREN 11:30 5
FREN 11:45 5
FREN 12:30 6
FREN 12:50 8
FREN 13:30 5
FREN 13:55 5
FREN 14:30 4
FREN 15:00 4
FREN 15:30 1
FREN 16:05 6
FREN 17:00 10
FREN 18:00 6
GEO 08:00 7
GEO 08:30 16
GEO 09:30 29
GEO 09:35 19
GEO 10:00 6
GEO 10:05 8
GEO 10:30 8
GEO 10:40 17
GEO 11:30 6
GEO 11:45 1
GEO 12:50 2
GEO 13:00 1
GEO 13:30 35
GEO 13:55 16
GEO 14:30 41
GEO 15:00 25
GEO 15:05 2
GEO 15:30 2
GEO 16:00 3
GEO 16:05 3
GEO 16:30 2
GEO 17:00 1
GEO 19:00 1
GEO 19:15 6
GEO 19:30 2
GERM 09:35 2
GERM 10:40 1
GERM 11:30 2
GERM 11:35 1
GERM 11:45 1
GERM 12:00 3
GERM 12:30 1
GERM 13:00 1
GERM 13:01 1
GERM 13:30 7
GERM 13:55 10
GERM 14:00 1
GERM 14:30 5
GERM 15:00 10
GERM 16:05 5
GERM 16:30 3
GERM 17:00 1
GERM 17:30 3
GERM 17:40 3
GERM 18:00 3
GERM 18:30 2
GERM 19:15 1
GRK 08:00 1
GRK 09:05 3
GRK 09:35 4
GRK 13:00 3
GRK 13:30 2
GRK 14:30 1
GRK 16:05 1
GRK 17:00 1
GRK 17:35 1
GRK 19:15 2
HIST 08:00 3
HIST 08:30 23
HIST 09:30 8
HIST 09:35 13
HIST 10:00 11
HIST 10:05 26
HIST 10:30 9
HIST 10:40 11
HIST 11:30 3
HIST 11:45 6
HIST 12:50 5
HIST 13:30 64
HIST 13:55 9
HIST 14:30 3
HIST 15:00 19
HIST 15:05 26
HIST 15:30 8
HIST 16:05 18
HIST 17:00 11
HIST 17:40 2
HIST 19:15 1
ITAL 17:00 6
JAPN 09:00 6
JAPN 09:05 5
JAPN 10:30 1
JAPN 10:40 10
JAPN 11:30 1
JAPN 12:50 3
JAPN 13:00 10
JAPN 13:30 4
JAPN 13:55 10
JAPN 14:30 11
JAPN 15:00 2
JAPN 15:05 1
JAPN 16:05 4
KINE 08:30 33
KINE 09:30 9
KINE 09:35 15
KINE 10:00 1
KINE 10:05 10
KINE 10:30 9
KINE 10:40 18
KINE 11:30 10
KINE 11:45 9
KINE 12:30 1
KINE 12:50 4
KINE 13:30 60
KINE 13:55 20
KINE 14:00 1
KINE 14:30 9
KINE 15:00 20
KINE 15:30 5
KINE 16:05 1
KINE 19:00 6
KINE 19:15 4
LANG 13:30 1
LANG 16:05 1
LATN 13:00 6
LATN 13:30 4
LATN 13:55 6
LATN 14:30 4
LATN 17:00 1
LING 10:05 1
LING 10:40 5
LING 11:30 1
LING 11:45 2
LING 13:30 1
LING 13:55 4
LING 15:00 1
LING 16:05 1
LLAS 10:05 3
LLAS 13:30 3
LLAS 15:05 2
LLAS 16:05 1
MAC 09:00 1
MAC 09:30 2
MAC 10:05 2
MAC 13:30 10
MAC 15:00 1
MAC 15:05 2
MAC 16:05 3
MAC 17:00 4
MAC 19:15 4
MATH 08:30 81
MATH 09:30 13
MATH 09:35 49
MATH 10:00 20
MATH 10:05 52
MATH 10:30 19
MATH 10:40 45
MATH 11:30 11
MATH 11:45 22
MATH 12:30 1
MATH 12:50 5
MATH 13:30 105
MATH 13:55 45
MATH 14:30 16
MATH 15:00 66
MATH 15:05 61
MATH 15:30 12
MATH 16:00 1
MATH 16:05 8
MATH 17:00 12
MATH 17:10 1
MATH 17:40 1
MATH 19:00 1
MUSA 10:05 2
MUSA 11:35 4
MUSA 12:30 2
MUSA 12:31 2
MUSA 19:15 4
MUSC 08:30 20
MUSC 09:30 10
MUSC 09:35 14
MUSC 10:00 9
MUSC 10:05 15
MUSC 10:30 7
MUSC 10:40 15
MUSC 11:30 13
MUSC 11:31 2
MUSC 11:35 2
MUSC 11:40 27
MUSC 11:45 3
MUSC 12:30 14
MUSC 12:31 1
MUSC 12:35 9
MUSC 12:50 1
MUSC 13:00 1
MUSC 13:25 1
MUSC 13:30 34
MUSC 13:55 13
MUSC 14:00 1
MUSC 14:30 5
MUSC 15:00 17
MUSC 15:05 7
MUSC 15:30 5
MUSC 16:05 13
MUSC 16:30 2
MUSC 16:35 8
MUSC 17:00 7
MUSC 17:40 3
MUSC 18:00 13
MUSC 18:15 1
MUSC 19:00 7
MUSC 19:15 49
MUSC 19:30 42
MUSC 20:15 1
MUSC 20:30 8
PHAC 07:00 82
PHAC 07:30 4
PHAC 08:00 72
PHAC 08:15 22
PHAC 08:30 38
PHAC 08:45 30
PHAC 09:30 8
PHAC 10:30 6
PHAC 11:00 4
PHAC 11:30 20
PHAC 11:45 2
PHAC 12:00 36
PHAC 12:30 8
PHAC 16:00 2
PHAC 16:30 16
PHAC 16:35 2
PHAC 17:00 10
PHAC 17:10 20
PHAC 17:30 8
PHAC 18:00 2
PHAC 18:15 4
PHAC 18:30 6
PHAC 19:00 4
PHAC 19:30 2
PHAC 20:00 4
PHAC 20:10 6
PHAC 20:15 10
PHAC 20:25 2
PHAC 20:30 2
PHIL 08:30 2
PHIL 09:30 5
PHIL 09:35 10
PHIL 10:00 8
PHIL 10:05 11
PHIL 10:30 6
PHIL 10:40 9
PHIL 11:30 1
PHIL 11:45 6
PHIL 12:50 5
PHIL 13:30 13
PHIL 13:55 10
PHIL 14:30 5
PHIL 15:00 6
PHIL 15:05 9
PHIL 15:30 6
PHIL 16:05 8
PHIL 17:00 5
PHIL 19:15 4
PHYS 08:30 75
PHYS 09:30 9
PHYS 09:35 18
PHYS 10:00 10
PHYS 10:05 20
PHYS 10:30 7
PHYS 10:40 13
PHYS 11:30 11
PHYS 11:45 11
PHYS 12:30 1
PHYS 12:50 11
PHYS 13:30 95
PHYS 13:55 28
PHYS 14:30 6
PHYS 15:00 13
PHYS 15:05 3
PHYS 15:30 5
PHYS 16:05 2
POLS 08:00 1
POLS 08:30 4
POLS 09:30 3
POLS 09:35 3
POLS 10:00 10
POLS 10:05 22
POLS 10:30 7
POLS 10:40 10
POLS 11:45 3
POLS 12:50 3
POLS 13:30 49
POLS 13:55 3
POLS 14:30 4
POLS 15:00 13
POLS 15:05 20
POLS 15:30 7
POLS 16:05 19
POLS 17:00 7
POLS 17:40 11
POLS 19:00 16
POLS 19:15 12
PSYC 08:00 3
PSYC 08:30 58
PSYC 09:30 7
PSYC 09:35 16
PSYC 10:00 12
PSYC 10:05 25
PSYC 10:30 5
PSYC 10:40 12
PSYC 11:30 7
PSYC 11:45 10
PSYC 12:50 64
PSYC 13:30 56
PSYC 13:55 18
PSYC 14:30 13
PSYC 15:00 17
PSYC 15:05 11
PSYC 15:30 4
PSYC 16:05 3
PSYC 16:30 5
PSYC 16:40 3
PSYC 17:00 3
PSYC 18:00 1
PSYC 19:00 6
PSYC 19:15 7
PSYC 20:30 1
RELS 08:30 2
RELS 09:30 1
RELS 10:00 6
RELS 10:05 14
RELS 10:30 4
RELS 10:40 8
RELS 11:30 2
RELS 12:50 2
RELS 13:30 19
RELS 13:55 8
RELS 15:00 6
RELS 15:05 8
RELS 15:30 4
RELS 16:05 10
RELS 17:00 4
RELS 17:40 2
RELS 19:00 11
RELS 19:15 9
RUSN 10:05 3
RUSN 12:50 1
RUSN 13:00 5
RUSN 13:30 3
RUSN 13:55 4
RUSN 14:30 5
RUSN 15:00 11
RUSN 15:30 1
RUSN 16:05 10
SOC 08:00 1
SOC 08:30 1
SOC 09:30 1
SOC 09:35 10
SOC 10:00 9
SOC 10:05 19
SOC 10:30 2
SOC 10:40 11
SOC 11:30 1
SOC 11:45 8
SOC 12:50 5
SOC 13:30 31
SOC 13:55 4
SOC 14:30 1
SOC 15:00 8
SOC 15:05 19
SOC 15:30 12
SOC 16:05 12
SOC 17:00 22
SOC 17:40 12
SOC 19:00 6
SOC 19:15 5
SPAN 08:30 24
SPAN 09:30 14
SPAN 09:35 17
SPAN 10:00 2
SPAN 10:05 5
SPAN 10:30 14
SPAN 10:40 26
SPAN 11:30 4
SPAN 11:45 10
SPAN 12:50 7
SPAN 13:30 33
SPAN 13:55 43
SPAN 14:30 14
SPAN 15:00 36
SPAN 15:05 7
SPAN 15:30 9
SPAN 16:05 3
SPAN 17:00 2
SPAN 18:00 29
SPAN 19:00 13
SPAN 19:15 16
THEA 08:00 2
THEA 08:30 22
THEA 09:30 15
THEA 09:35 28
THEA 10:00 17
THEA 10:05 13
THEA 10:30 5
THEA 10:40 11
THEA 11:00 3
THEA 11:30 1
THEA 11:35 2
THEA 11:45 14
THEA 12:30 33
THEA 12:50 8
THEA 13:30 31
THEA 13:55 13
THEA 14:30 2
THEA 15:00 17
THEA 15:05 20
THEA 15:30 12
THEA 15:35 7
THEA 16:05 26
THEA 16:30 10
THEA 16:40 15
THEA 18:00 21
THEA 18:30 10
THEA 18:35 4
THEA 18:45 10
THEA 19:00 3
THEA 19:45 1
THEA 20:00 1
THEA 20:05 1
THEA 20:15 1
UEP 08:00 5
UEP 08:30 6
UEP 09:30 1
UEP 09:35 1
UEP 10:00 5
UEP 10:05 32
UEP 10:30 1
UEP 10:40 2
UEP 11:30 4
UEP 11:45 1
UEP 11:55 2
UEP 13:00 1
UEP 13:30 33
UEP 13:55 2
UEP 15:00 8
UEP 15:05 16
UEP 15:30 14
UEP 16:05 3
UEP 17:00 21
UEP 17:40 7
UEP 19:00 3
UEP 19:15 19
WRD 09:00 1
WRD 09:35 4
WRD 10:05 5
WRD 10:40 5
WRD 11:45 1
WRD 12:50 8
WRD 13:30 12
WRD 13:55 7
WRD 15:00 3
WRD 15:05 2
WRD 16:05 1
WRD 17:00 3
WRD 17:40 2
WRD 19:15 10
