X_DIM  Y_DIM  X1_TYPE      X1_UNIQ  X2_TYPE      X2_UNIQ  POPULATION  CHART_TYPE
2      1      sequence     few      numeric      few      ignore      3d_scatter_plot/scatter_plot_with_color_spectrum
2      1      sequence     few      numeric      few      ignore      3d_scatter_plot/scatter_plot_with_color_spectrum
2      1      sequence     few      numeric      many     ignore      3d_scatter_plot/scatter_plot_with_color_spectrum
2      1      sequence     few      numeric      many     ignore      3d_scatter_plot/scatter_plot_with_color_spectrum
2      1      sequence     many     sequence     many     ignore      heat_map/3d_surface_plot/scatter_plot_with_color_spectrum
2      1      sequence     many     sequence     many     ignore      heat_map/3d_surface_plot/scatter_plot_with_color_spectrum
2      1      sequence     many     numeric      few      ignore      3d_scatter_plot/scatter_plot_with_color_spectrum
2      1      sequence     many     numeric      few      ignore      3d_scatter_plot/scatter_plot_with_color_spectrum
2      1      sequence     many     numeric      many     ignore      3d_scatter_plot/scatter_plot_with_color_spectrum
2      1      sequence     many     numeric      many     ignore      3d_scatter_plot/scatter_plot_with_color_spectrum
2      1      numeric      few      numeric      few      ignore      3d_scatter_plot/scatter_plot_with_color_spectrum
2      1      numeric      few      numeric      few      ignore      3d_scatter_plot/scatter_plot_with_color_spectrum
2      1      numeric      few      numeric      many     ignore      3d_scatter_plot/scatter_plot_with_color_spectrum
2      1      numeric      few      numeric      many     ignore      3d_scatter_plot/scatter_plot_with_color_spectrum
2      1      numeric      many     numeric      many     ignore      3d_scatter_plot/scatter_plot_with_color_spectrum
2      1      numeric      many     numeric      many     ignore      3d_scatter_plot/scatter_plot_with_color_spectrum
0      2      none         few      none         few      ignore      scatter_plot
1      2      categorical  few      none         few      ignore      scatter_plot_with_color_category
1      2      categorical  few      none         few      ignore      scatter_plot_with_color_category
1      2      categorical  many     none         few      ignore      FIXME
1      2      categorical  many     none         few      ignore      FIXME
1      2      sequence     few      none         few      ignore      dual_axis_scatter_plot
1      2      sequence     few      none         few      ignore      dual_axis_scatter_plot
1      2      sequence     many     none         few      ignore      dual_axis_scatter_plot
1      2      sequence     many     none         few      ignore      dual_axis_scatter_plot
1      2      numeric      few      none         few      ignore      dual_axis_scatter_plot
1      2      numeric      few      none         few      ignore      dual_axis_scatter_plot
1      2      numeric      many     none         few      ignore      dual_axis_scatter_plot
1      2      numeric      many     none         few      ignore      dual_axis_scatter_plot
1      2      time         few      none         few      ignore      FIXME
1      2      time         few      none         few      ignore      FIXME
1      2      time         many     none         few      ignore      FIXME
1      2      time         many     none         few      ignore      FIXME
2      2      categorical  few      categorical  few      ignore      scatter_plot_matrix
2      2      categorical  few      categorical  few      ignore      scatter_plot_matrix
2      2      categorical  few      categorical  many     ignore      FIXME
2      2      categorical  few      categorical  many     ignore      FIXME
2      2      categorical  few      sequence     few      ignore      FIXME
2      2      categorical  few      sequence     few      ignore      FIXME
2      2      categorical  few      sequence     many     ignore      FIXME
2      2      categorical  few      sequence     many     ignore      FIXME
2      2      categorical  few      numeric      few      ignore      FIXME
2      2      categorical  few      numeric      few      ignore      FIXME
2      2      categorical  few      numeric      many     ignore      FIXME
2      2      categorical  few      numeric      many     ignore      FIXME
2      2      categorical  many     categorical  few      ignore      FIXME
2      2      categorical  many     categorical  few      ignore      FIXME
2      2      categorical  many     categorical  many     ignore      FIXME
2      2      categorical  many     categorical  many     ignore      FIXME
2      2      categorical  many     sequence     few      ignore      FIXME
2      2      categorical  many     sequence     few      ignore      FIXME
2      2      categorical  many     sequence     many     ignore      FIXME
2      2      categorical  many     sequence     many     ignore      FIXME
2      2      categorical  many     numeric      few      ignore      FIXME
2      2      categorical  many     numeric      few      ignore      FIXME
2      2      categorical  many     numeric      many     ignore      FIXME
2      2      categorical  many     numeric      many     ignore      FIXME
2      2      sequence     few      numeric      few      ignore      FIXME
2      2      sequence     few      numeric      few      ignore      FIXME
2      2      sequence     few      numeric      many     ignore      FIXME
2      2      sequence     few      numeric      many     ignore      FIXME
2      2      sequence     few      sequence     few      ignore      FIXME
2      2      sequence     few      sequence     few      ignore      FIXME
2      2      sequence     few      sequence     many     ignore      FIXME
2      2      sequence     few      sequence     many     ignore      FIXME
2      2      sequence     many     numeric      few      ignore      FIXME
2      2      sequence     many     numeric      few      ignore      FIXME
2      2      sequence     many     numeric      many     ignore      FIXME
2      2      sequence     many     numeric      many     ignore      FIXME
2      2      sequence     many     sequence     many     ignore      FIXME
2      2      sequence     many     sequence     many     ignore      FIXME
2      2      numeric      few      numeric      few      ignore      FIXME
2      2      numeric      few      numeric      few      ignore      FIXME
2      2      numeric      few      numeric      many     ignore      FIXME
2      2      numeric      few      numeric      many     ignore      FIXME
2      2      numeric      many     numeric      many     ignore      FIXME
2      2      numeric      many     numeric      many     ignore      FIXME
0      3      none         few      none         few      ignore      FIXME
2      3      categorical  few      categorical  few      ignore      FIXME
2      3      categorical  few      categorical  few      ignore      FIXME
2      3      categorical  few      categorical  many     ignore      FIXME
2      3      categorical  few      categorical  many     ignore      FIXME
2      3      categorical  few      sequence     few      ignore      FIXME
2      3      categorical  few      sequence     few      ignore      FIXME
2      3      categorical  few      sequence     many     ignore      FIXME
2      3      categorical  few      sequence     many     ignore      FIXME
2      3      categorical  few      numeric      few      ignore      FIXME
2      3      categorical  few      numeric      few      ignore      FIXME
2      3      categorical  few      numeric      many     ignore      FIXME
2      3      categorical  few      numeric      many     ignore      FIXME
2      3      categorical  many     categorical  many     ignore      FIXME
2      3      categorical  many     categorical  many     ignore      FIXME
2      3      categorical  many     sequence     few      ignore      FIXME
2      3      categorical  many     sequence     few      ignore      FIXME
2      3      categorical  many     sequence     many     ignore      FIXME
2      3      categorical  many     sequence     many     ignore      FIXME
2      3      categorical  many     numeric      few      ignore      FIXME
2      3      categorical  many     numeric      few      ignore      FIXME
2      3      categorical  many     numeric      many     ignore      FIXME
2      3      categorical  many     numeric      many     ignore      FIXME
2      3      sequence     few      sequence     few      ignore      FIXME
2      3      sequence     few      sequence     few      ignore      FIXME
2      3      sequence     few      sequence     many     ignore      FIXME
2      3      sequence     few      sequence     many     ignore      FIXME
2      3      sequence     few      numeric      few      ignore      FIXME
2      3      sequence     few      numeric      few      ignore      FIXME
2      3      sequence     few      numeric      many     ignore      FIXME
2      3      sequence     few      numeric      many     ignore      FIXME
2      3      sequence     many     sequence     many     ignore      FIXME
2      3      sequence     many     sequence     many     ignore      FIXME
2      3      sequence     many     numeric      few      ignore      FIXME
2      3      sequence     many     numeric      few      ignore      FIXME
2      3      sequence     many     numeric      many     ignore      FIXME
2      3      sequence     many     numeric      many     ignore      FIXME
2      3      numeric      few      numeric      few      ignore      FIXME
2      3      numeric      few      numeric      few      ignore      FIXME
2      3      numeric      few      numeric      many     ignore      FIXME
2      3      numeric      few      numeric      many     ignore      FIXME
2      3      numeric      many     numeric      many     ignore      FIXME
2      3      numeric      many     numeric      many     ignore      FIXME
